Scan	superkingdom	phylum	class	order	family	genus	species	proteins	taxids
21384	Eukaryota							sp|Q26537|14332_SCHMA, sp|P93209|14333_SOLLC, sp|Q01525|14332_ARATH, sp|Q41418|14331_SOLTU, sp|Q1HR36|1433Z_AEDAE, sp|P93343|1433C_TOBAC, sp|Q2F637|1433Z_BOMMO, sp|Q96452|1433C_SOYBN, sp|P85939|14332_PSEMZ, sp|P42644|14333_ARATH, sp|Q7XTE8|14332_ORYSJ, sp|P29310|1433Z_DROME, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|O49995|1433B_TOBAC, sp|P46077|14334_ARATH, sp|Q6EUP4|14335_ORYSJ, sp|P93784|14335_SOLTU, sp|P41932|14331_CAEEL, sp|P93212|14337_SOLLC, sp|P49106|14331_MAIZE, sp|Q39757|1433_FUCVE, sp|P42643|14331_ARATH, sp|P42653|1433A_VICFA, sp|Q20655|14332_CAEEL, sp|O49997|1433E_TOBAC, sp|P92177|1433E_DROME, sp|Q01526|14332_MAIZE, sp|O49998|1433F_TOBAC, sp|P46266|1433_PEA, sp|Q41246|1433_TOBAC, sp|P93210|14335_SOLLC, sp|Q9C5W6|14312_ARATH, sp|P93208|14332_SOLLC, sp|P93211|14336_SOLLC, sp|Q06967|14336_ORYSJ, sp|P48347|14310_ARATH	7227, 4081, 49266, 3702, 4113, 7159, 3906, 6183, 4577, 4097, 7091, 3888, 3357, 559292, 39947, 3847, 6239
14495	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53499|ACT_CHOCR, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|P30161|ACT_COSCS, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|P53459|ACT6_DIBDE	35862, 2872, 5763, 4787, 6210, 35632, 28845, 3357, 2769, 4829, 5755
24611									
23757									
20029									
13111									
23172									
21890									
22875									
24334									
25125									
14975									
13247									
11081	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q9UVZ8|ACT_CANDC, sp|Q11212|ACT_SPOLI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|O74258|ACT_OGAPD, sp|P14235|ACT_CANAX, sp|P93584|ACT9_SOLTU, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|P0C542|ACT7_ORYSI, sp|Q75D00|ACT_EREGS, sp|Q96482|ACT1_SOLLC, sp|P60011|ACT_SACBA, sp|P0C540|ACT7_ORYSJ, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P26183|ACT_CRYPV, sp|P93375|ACT7_TOBAC, sp|P60010|ACT_YEAST, sp|P93373|ACT3_TOBAC, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|Q92193|ACT_CRAVI, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|Q39596|ACT_OXYRB, sp|P53459|ACT6_DIBDE	35862, 284811, 6565, 4081, 2872, 5763, 4113, 4787, 7109, 871575, 5476, 4931, 6210, 573826, 35632, 28845, 4097, 3560, 3357, 39946, 559292, 5807, 4829, 6662, 39947, 294746, 5755
25999									
20526	Eukaryota							sp|Q9SP07|1433_LILLO, sp|P93214|14339_SOLLC, sp|C0H4V6|1433I_PLAF7, sp|P42645|14335_ARATH, sp|P93209|14333_SOLLC, sp|P29305|1433A_HORVU, sp|P85942|14334_PSEMZ, sp|P42657|RAD25_SCHPO, sp|Q01525|14332_ARATH, sp|Q41418|14331_SOLTU, sp|Q43470|1433B_HORVU, sp|P93343|1433C_TOBAC, sp|Q96453|1433D_SOYBN, sp|Q96452|1433C_SOYBN, sp|Q5QNB8|14337_ORYSJ, sp|P85939|14332_PSEMZ, sp|Q25538|1433_NEOCA, sp|Q8SW28|1433_ENCCU, sp|Q7XTE8|14332_ORYSJ, sp|O42766|1433_CANAL, sp|Q2R2W2|14334_ORYSJ, sp|O65352|1433_HELAN, sp|P29307|1433_OENEH, sp|P34730|BMH2_YEAST, sp|P42654|1433B_VICFA, sp|Q96300|14337_ARATH, sp|P29311|BMH1_YEAST, sp|P52908|1433_CHLRE, sp|P46077|14334_ARATH, sp|Q6EUP4|14335_ORYSJ, sp|P42652|14334_SOLLC, sp|P93784|14335_SOLTU, sp|P49106|14331_MAIZE, sp|P93259|1433_MESCR, sp|P42643|14331_ARATH, sp|P85938|14331_PSEMZ, sp|Q96299|14339_ARATH, sp|P42656|RAD24_SCHPO, sp|Q84J55|14331_ORYSJ, sp|P42653|1433A_VICFA, sp|O49997|1433E_TOBAC, sp|O49998|1433F_TOBAC, sp|P92177|1433E_DROME, sp|Q96450|1433A_SOYBN, sp|Q9C5W6|14312_ARATH, sp|O96436|1433_EIMTE, sp|P46266|1433_PEA, sp|P93211|14336_SOLLC, sp|Q06967|14336_ORYSJ	3055, 7227, 4081, 4690, 3544, 29176, 3702, 4113, 237561, 85636, 3906, 4232, 4577, 284813, 5802, 4513, 36329, 4097, 3888, 3357, 559292, 39947, 284812, 3847
25593									
8808	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|Q11212|ACT_SPOLI, sp|Q96481|ACT4_SOLLC, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|Q9NJV4|ACT1_NAEPR, sp|P93584|ACT9_SOLTU, sp|P93376|ACT6_TOBAC, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|Q96482|ACT1_SOLLC, sp|P30172|ACT12_SOLTU, sp|Q96484|ACT3_SOLLC, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P93371|ACT5_TOBAC, sp|P93375|ACT7_TOBAC, sp|P93373|ACT3_TOBAC, sp|Q39596|ACT_OXYRB, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P93586|ACT2_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|P93374|ACT2_TOBAC, sp|Q92193|ACT_CRAVI, sp|P93372|ACT4_TOBAC, sp|P02578|ACT1_ACACA, sp|P93585|ACT4_SOLTU, sp|P53459|ACT6_DIBDE	35862, 6565, 4081, 4113, 2872, 5763, 7109, 6210, 35632, 6837, 28845, 4097, 3560, 3357, 4829, 6662, 294746, 5755, 234921
22646	Eukaryota							sp|Q26537|14332_SCHMA, sp|P93209|14333_SOLLC, sp|Q01525|14332_ARATH, sp|Q41418|14331_SOLTU, sp|Q1HR36|1433Z_AEDAE, sp|P93343|1433C_TOBAC, sp|Q2F637|1433Z_BOMMO, sp|Q96452|1433C_SOYBN, sp|P85939|14332_PSEMZ, sp|P42644|14333_ARATH, sp|Q7XTE8|14332_ORYSJ, sp|P29310|1433Z_DROME, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|O49995|1433B_TOBAC, sp|Q6EUP4|14335_ORYSJ, sp|P93784|14335_SOLTU, sp|P41932|14331_CAEEL, sp|P93212|14337_SOLLC, sp|P49106|14331_MAIZE, sp|Q39757|1433_FUCVE, sp|Q20655|14332_CAEEL, sp|O49997|1433E_TOBAC, sp|P92177|1433E_DROME, sp|Q01526|14332_MAIZE, sp|O49998|1433F_TOBAC, sp|Q41246|1433_TOBAC, sp|P93210|14335_SOLLC, sp|Q9C5W6|14312_ARATH, sp|P93208|14332_SOLLC, sp|P93211|14336_SOLLC, sp|Q06967|14336_ORYSJ, sp|P48347|14310_ARATH	7227, 4081, 49266, 3702, 4113, 7159, 6183, 4577, 4097, 7091, 3357, 559292, 39947, 3847, 6239
25803									
23560	Eukaryota							sp|Q26537|14332_SCHMA, sp|P93209|14333_SOLLC, sp|Q01525|14332_ARATH, sp|Q41418|14331_SOLTU, sp|Q1HR36|1433Z_AEDAE, sp|P93343|1433C_TOBAC, sp|Q2F637|1433Z_BOMMO, sp|Q96452|1433C_SOYBN, sp|P85939|14332_PSEMZ, sp|P42644|14333_ARATH, sp|Q7XTE8|14332_ORYSJ, sp|P29310|1433Z_DROME, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|O49995|1433B_TOBAC, sp|P46077|14334_ARATH, sp|Q6EUP4|14335_ORYSJ, sp|P93784|14335_SOLTU, sp|P41932|14331_CAEEL, sp|P93212|14337_SOLLC, sp|P49106|14331_MAIZE, sp|P42643|14331_ARATH, sp|P42653|1433A_VICFA, sp|Q20655|14332_CAEEL, sp|O49997|1433E_TOBAC, sp|P92177|1433E_DROME, sp|O49998|1433F_TOBAC, sp|P46266|1433_PEA, sp|Q41246|1433_TOBAC, sp|P93210|14335_SOLLC, sp|Q9C5W6|14312_ARATH, sp|P93208|14332_SOLLC, sp|P93211|14336_SOLLC, sp|Q06967|14336_ORYSJ, sp|P48347|14310_ARATH	7227, 4081, 3702, 4113, 7159, 3906, 6183, 4577, 4097, 7091, 3888, 3357, 559292, 39947, 3847, 6239
24284	Eukaryota							sp|Q26537|14332_SCHMA, sp|Q41418|14331_SOLTU, sp|P85939|14332_PSEMZ, sp|P42644|14333_ARATH, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|Q39757|1433_FUCVE, sp|P92177|1433E_DROME, sp|O49997|1433E_TOBAC, sp|Q9C5W6|14312_ARATH, sp|Q06967|14336_ORYSJ	7227, 49266, 3702, 4113, 6183, 4097, 3357, 559292, 39947
9063	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|Q11212|ACT_SPOLI, sp|Q96481|ACT4_SOLLC, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|Q9NJV4|ACT1_NAEPR, sp|P93584|ACT9_SOLTU, sp|P93376|ACT6_TOBAC, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|Q96482|ACT1_SOLLC, sp|P30172|ACT12_SOLTU, sp|Q96484|ACT3_SOLLC, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P93371|ACT5_TOBAC, sp|P93375|ACT7_TOBAC, sp|P93373|ACT3_TOBAC, sp|Q39596|ACT_OXYRB, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P93586|ACT2_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|P93374|ACT2_TOBAC, sp|Q92193|ACT_CRAVI, sp|P93372|ACT4_TOBAC, sp|P02578|ACT1_ACACA, sp|P93585|ACT4_SOLTU, sp|P53459|ACT6_DIBDE	35862, 6565, 4081, 4113, 2872, 5763, 7109, 6210, 35632, 6837, 28845, 4097, 3560, 3357, 4829, 6662, 294746, 5755, 234921
16847	Eukaryota							sp|P86700|ACT_CHIOP, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|Q25379|ACT3_LYTPI, sp|P85937|ACT2_PSEMZ, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|P45521|ACT_PROCL, sp|Q25381|ACTM_LYTPI, sp|Q92193|ACT_CRAVI, sp|P02578|ACT1_ACACA	7653, 6565, 6728, 6210, 41210, 35632, 28845, 6837, 3357, 294746, 5755
26179									
18609	Eukaryota							sp|E2RU97|1433_GIAIC, sp|P42657|RAD25_SCHPO, sp|Q96451|1433B_SOYBN, sp|Q43470|1433B_HORVU, sp|Q8MM75|14332_ECHMU, sp|Q96452|1433C_SOYBN, sp|Q9U408|14331_ECHGR, sp|P85939|14332_PSEMZ, sp|Q7XTE8|14332_ORYSJ, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|Q6EUP4|14335_ORYSJ, sp|Q8MUA4|14332_ECHGR, sp|P49106|14331_MAIZE, sp|P42656|RAD24_SCHPO, sp|Q24902|14331_ECHMU, sp|P92177|1433E_DROME, sp|Q41246|1433_TOBAC, sp|Q9C5W6|14312_ARATH, sp|P93212|14337_SOLLC	184922, 7227, 4081, 3702, 6211, 6210, 4577, 4513, 4097, 3357, 559292, 39947, 284812, 3847
26511									
26351									
9115	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|Q11212|ACT_SPOLI, sp|Q96481|ACT4_SOLLC, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|Q9NJV4|ACT1_NAEPR, sp|P93584|ACT9_SOLTU, sp|P93376|ACT6_TOBAC, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|Q96482|ACT1_SOLLC, sp|P30172|ACT12_SOLTU, sp|Q96484|ACT3_SOLLC, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P93371|ACT5_TOBAC, sp|P93375|ACT7_TOBAC, sp|P93373|ACT3_TOBAC, sp|Q39596|ACT_OXYRB, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P93586|ACT2_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|P93374|ACT2_TOBAC, sp|Q92193|ACT_CRAVI, sp|P93372|ACT4_TOBAC, sp|P02578|ACT1_ACACA, sp|P93585|ACT4_SOLTU, sp|P53459|ACT6_DIBDE	35862, 6565, 4081, 4113, 2872, 5763, 7109, 6210, 35632, 6837, 28845, 4097, 3560, 3357, 4829, 6662, 294746, 5755, 234921
9278	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q9UVZ8|ACT_CANDC, sp|Q11212|ACT_SPOLI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|O74258|ACT_OGAPD, sp|P14235|ACT_CANAX, sp|P93584|ACT9_SOLTU, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|P0C542|ACT7_ORYSI, sp|Q75D00|ACT_EREGS, sp|Q96482|ACT1_SOLLC, sp|P60011|ACT_SACBA, sp|P0C540|ACT7_ORYSJ, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P93371|ACT5_TOBAC, sp|P26183|ACT_CRYPV, sp|P93375|ACT7_TOBAC, sp|P60010|ACT_YEAST, sp|P93373|ACT3_TOBAC, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|Q92193|ACT_CRAVI, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|Q39596|ACT_OXYRB, sp|P53459|ACT6_DIBDE	35862, 284811, 6565, 4081, 2872, 5763, 4113, 4787, 7109, 871575, 5476, 4931, 6210, 573826, 35632, 28845, 4097, 3560, 3357, 39946, 559292, 5807, 4829, 6662, 39947, 294746, 5755
8805	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|Q11212|ACT_SPOLI, sp|Q96481|ACT4_SOLLC, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|Q9NJV4|ACT1_NAEPR, sp|P93584|ACT9_SOLTU, sp|P93376|ACT6_TOBAC, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|Q96482|ACT1_SOLLC, sp|P30172|ACT12_SOLTU, sp|Q96484|ACT3_SOLLC, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P93371|ACT5_TOBAC, sp|P93375|ACT7_TOBAC, sp|P93373|ACT3_TOBAC, sp|Q39596|ACT_OXYRB, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P93586|ACT2_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|P93374|ACT2_TOBAC, sp|Q92193|ACT_CRAVI, sp|P93372|ACT4_TOBAC, sp|P02578|ACT1_ACACA, sp|P93585|ACT4_SOLTU, sp|P53459|ACT6_DIBDE	35862, 6565, 4081, 4113, 2872, 5763, 7109, 6210, 35632, 6837, 28845, 4097, 3560, 3357, 4829, 6662, 294746, 5755, 234921
9272	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q9UVZ8|ACT_CANDC, sp|Q11212|ACT_SPOLI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|O74258|ACT_OGAPD, sp|P14235|ACT_CANAX, sp|P93584|ACT9_SOLTU, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|P0C542|ACT7_ORYSI, sp|Q75D00|ACT_EREGS, sp|Q96482|ACT1_SOLLC, sp|P60011|ACT_SACBA, sp|P0C540|ACT7_ORYSJ, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P93371|ACT5_TOBAC, sp|P26183|ACT_CRYPV, sp|P93375|ACT7_TOBAC, sp|P60010|ACT_YEAST, sp|P93373|ACT3_TOBAC, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|Q92193|ACT_CRAVI, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|Q39596|ACT_OXYRB, sp|P53459|ACT6_DIBDE	35862, 284811, 6565, 4081, 2872, 5763, 4113, 4787, 7109, 871575, 5476, 4931, 6210, 573826, 35632, 28845, 4097, 3560, 3357, 39946, 559292, 5807, 4829, 6662, 39947, 294746, 5755
17061	Eukaryota							sp|P86700|ACT_CHIOP, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|Q25379|ACT3_LYTPI, sp|P85937|ACT2_PSEMZ, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|P45521|ACT_PROCL, sp|Q25381|ACTM_LYTPI, sp|Q92193|ACT_CRAVI, sp|P02578|ACT1_ACACA	7653, 6565, 6728, 6210, 41210, 35632, 28845, 6837, 3357, 294746, 5755
4431	Eukaryota							sp|P14865|EF1A3_MUCCL, sp|P28295|EF1A_ABSGL, sp|P41745|EF1A_BLAAD, sp|Q00251|EF1A_AURPU, sp|P0CY35|EF1A1_CANAL, sp|P06805|EF1A1_MUCCL, sp|P02994|EF1A_YEAST, sp|Q59QD6|EF1A2_CANAL, sp|P0CT54|EF1A2_SCHPO, sp|P0CT53|EF1A1_SCHPO, sp|P14864|EF1A2_MUCCL, sp|A5DPE3|EF1A_PICGU, sp|P0CT55|EF1A3_SCHPO, sp|P41752|EF1A_EREGS	409370, 284811, 5580, 237561, 559292, 4829, 29924, 294746, 284812
