Scan	superkingdom	phylum	class	order	family	genus	species	proteins	taxids
19181	Eukaryota							sp|P18239|ADT2_YEAST, sp|P18238|ADT3_YEAST, sp|P04710|ADT1_YEAST	559292
17500	Eukaryota							sp|A6ZQJ1|IF4A_YEAS7, sp|P10081|IF4A_YEAST	307796, 559292
7372	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
12112	Eukaryota							sp|P20606|SAR1_YEAST	559292
11458	Eukaryota							sp|P54839|ERG13_YEAST	559292
16491	Eukaryota							sp|P16140|VATB_YEAST	559292
17771	Eukaryota							sp|P00560|PGK_YEAST	559292
12943	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
15617	Eukaryota							sp|P00560|PGK_YEAST	559292
6867	Eukaryota							sp|Q9BIS2|HSP73_DROME, sp|P82910|HSP70_DROME, sp|Q8INI8|HSP72_DROME, sp|Q9VG58|HSP74_DROME, sp|P29843|HSP7A_DROME, sp|O97125|HSP68_DROME, sp|P11146|HSP7B_DROME, sp|Q9BIR7|HSP75_DROME, sp|P10592|HSP72_YEAST	7227, 559292
8419	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
8541	Eukaryota							sp|Q27580|SAHH_DROME, sp|P39954|SAHH_YEAST, sp|Q9VZX9|SAHH2_DROME, sp|P50245|SAHH3_DROME	7227, 559292
5072	Eukaryota							sp|Q00245|RHO3_YEAST, sp|P06780|RHO1_YEAST, sp|P06781|RHO2_YEAST	559292
8924	Eukaryota							sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P0CT53|EF1A1_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
17760	Eukaryota							sp|P00560|PGK_YEAST	559292
8254	Eukaryota							sp|P21576|VPS1_YEAST	559292
16259	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
3381	Eukaryota							sp|P16140|VATB_YEAST	559292
13552	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
11285	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
14056	Eukaryota							sp|P36017|VPS21_YEAST, sp|P36018|YPT52_YEAST, sp|P38146|YPT10_YEAST, sp|P36019|YPT53_YEAST	559292
19055	Eukaryota							sp|P09938|RIR2_YEAST	559292
12318	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
12635	Eukaryota							sp|P12982|PP12_DROME, sp|Q05547|PP13_DROME, sp|P48461|PP11_DROME, sp|P32598|PP12_YEAST, sp|P48462|PP1B_DROME	559292, 7227
3740	Eukaryota							sp|P08736|EF1A1_DROME, sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P05303|EF1A2_DROME, sp|P0CT55|EF1A3_SCHPO	7227, 284812
16462	Eukaryota							sp|P00560|PGK_YEAST	559292
7365	Eukaryota							sp|Q9HE04|RHO5_SCHPO, sp|P06780|RHO1_YEAST, sp|Q09914|RHO1_SCHPO	559292, 284812
13111									
7213	Eukaryota							sp|P22202|HSP74_YEAST, sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST	559292
7543	Eukaryota							sp|Q9BIS2|HSP73_DROME, sp|Q8INI8|HSP72_DROME, sp|Q9VG58|HSP74_DROME, sp|P29843|HSP7A_DROME, sp|O97125|HSP68_DROME, sp|P11146|HSP7B_DROME, sp|Q9BIR7|HSP75_DROME, sp|P10592|HSP72_YEAST	7227, 559292
12116	Eukaryota							sp|P20606|SAR1_YEAST	559292
12969	Eukaryota							sp|P02557|TBB_YEAST	559292
5222									
13598	Eukaryota							sp|P32598|PP12_YEAST, sp|P48461|PP11_DROME, sp|P12982|PP12_DROME, sp|P48462|PP1B_DROME, sp|Q05547|PP13_DROME, sp|P23287|PP2B1_YEAST	7227, 559292
15981	Eukaryota							sp|P00560|PGK_YEAST	559292
16286	Eukaryota							sp|P00560|PGK_YEAST	559292
7752	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
21095	Eukaryota							sp|P09734|TBA3_YEAST, sp|P09733|TBA1_YEAST	559292
7231	Eukaryota							sp|P22202|HSP74_YEAST, sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST	559292
9633	Eukaryota								
16854	Eukaryota							sp|P09734|TBA3_YEAST, sp|P09733|TBA1_YEAST	559292
15249	Eukaryota							sp|P15108|HSC82_YEAST, sp|P02829|HSP82_YEAST	559292
13116	Eukaryota							sp|P15108|HSC82_YEAST, sp|P04810|HSP83_DROSI, sp|P04809|HSP83_DROPS, sp|O02192|HSP83_DROAV, sp|P02828|HSP83_DROME, sp|P02829|HSP82_YEAST, sp|P04811|HSP83_DROVI	46245, 559292, 7244, 7227, 7240, 47315
9623	Eukaryota							sp|P41921|GSHR_YEAST	559292
12533	Eukaryota							sp|P15108|HSC82_YEAST, sp|P04810|HSP83_DROSI, sp|P04809|HSP83_DROPS, sp|O02192|HSP83_DROAV, sp|P02828|HSP83_DROME, sp|P02829|HSP82_YEAST, sp|P04811|HSP83_DROVI	46245, 559292, 7244, 7227, 7240, 47315
12354	Eukaryota							sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P0CT53|EF1A1_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
13907	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
17245	Eukaryota								
22219	Eukaryota							sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST	559292
20835	Eukaryota							sp|P00560|PGK_YEAST	559292
21391	Eukaryota							sp|P09938|RIR2_YEAST	559292
7680	Eukaryota							sp|P00560|PGK_YEAST	559292
20912	Eukaryota							sp|P00924|ENO1_YEAST	559292
8067	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
7724	Eukaryota							sp|P00560|PGK_YEAST	559292
23458	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
16398	Eukaryota							sp|P16140|VATB_YEAST	559292
23560	Eukaryota							sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST	559292
15560	Eukaryota							sp|P15108|HSC82_YEAST, sp|P02829|HSP82_YEAST	559292
21352	Eukaryota							sp|P11076|ARF1_YEAST, sp|P19146|ARF2_YEAST	559292
19778	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	284812, 559292
22585	Eukaryota							sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST	559292
23161	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
23746	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
22864	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
24284	Eukaryota							sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST	559292
20963	Eukaryota							sp|P00549|KPYK1_YEAST, sp|P52489|KPYK2_YEAST	559292
7386	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
16303	Eukaryota							sp|P00560|PGK_YEAST	559292
16704	Eukaryota							sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST	559292
24031	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
24300	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
24567	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
24835	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
8012	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
5980	Eukaryota							sp|P54115|ALDH6_YEAST	559292
7071	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
15301	Eukaryota							sp|P15108|HSC82_YEAST, sp|P02829|HSP82_YEAST	559292
11336	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
7975	Eukaryota							sp|P17967|PDI_YEAST	559292
18939	Eukaryota							sp|P09938|RIR2_YEAST	559292
19675	Eukaryota							sp|P34760|TSA1_YEAST	559292
18609	Eukaryota							sp|P34730|BMH2_YEAST, sp|P42656|RAD24_SCHPO, sp|P42657|RAD25_SCHPO, sp|P29311|BMH1_YEAST	284812, 559292
21681	Eukaryota							sp|P32794|AFG2_YEAST, sp|Q9P3A7|CDC48_SCHPO, sp|O60058|AFG2_SCHPO, sp|O74894|PRS6B_SCHPO, sp|P25694|CDC48_YEAST	284812, 559292
14033	Eukaryota							sp|Q9BIS2|HSP73_DROME, sp|P82910|HSP70_DROME, sp|Q8INI8|HSP72_DROME, sp|Q9GSU4|HSP72_DROSI, sp|P02825|HSP71_DROME, sp|Q9GSU7|HSP71_DROSI, sp|Q9VG58|HSP74_DROME, sp|Q9BIR7|HSP75_DROME, sp|P10591|HSP71_YEAST	559292, 7227, 7240
19285	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
22575	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
15286	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
12794	Eukaryota							sp|P08736|EF1A1_DROME, sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P05303|EF1A2_DROME, sp|P0CT55|EF1A3_SCHPO	7227, 284812
11179	Eukaryota							sp|Q24208|IF2G_DROME, sp|P45975|SUV39_DROME, sp|Q294B9|SUV39_DROPS, sp|P32481|IF2G_YEAST	46245, 7227, 559292
9038	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
16561	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
13943	Eukaryota							sp|P00560|PGK_YEAST	559292
16326	Eukaryota							sp|P00560|PGK_YEAST	559292
25985	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
19176	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
19661	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
17141	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
17128	Eukaryota							sp|P04147|PABP_YEAST	559292
18805	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
25770	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	284812, 559292
17883	Eukaryota							sp|P16140|VATB_YEAST	559292
26172	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	284812, 559292
19892	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
22457	Eukaryota							sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST	559292
17557	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
6322									
15145	Eukaryota							sp|P40792|RAC1_DROME, sp|P48148|RHO1_DROME, sp|P48554|RAC2_DROME, sp|P06780|RHO1_YEAST, sp|Q9HE04|RHO5_SCHPO, sp|Q09914|RHO1_SCHPO, sp|Q874R1|RHO4_SCHPO	559292, 7227, 284812
11962	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
12543	Eukaryota							sp|P15108|HSC82_YEAST, sp|P04810|HSP83_DROSI, sp|P04809|HSP83_DROPS, sp|O02192|HSP83_DROAV, sp|P02828|HSP83_DROME, sp|P02829|HSP82_YEAST, sp|P04811|HSP83_DROVI	46245, 559292, 7244, 7227, 7240, 47315
7408	Eukaryota							sp|P00560|PGK_YEAST	559292
13379	Eukaryota							sp|P15108|HSC82_YEAST, sp|P04810|HSP83_DROSI, sp|P04809|HSP83_DROPS, sp|O02192|HSP83_DROAV, sp|P02828|HSP83_DROME, sp|P02829|HSP82_YEAST, sp|P04811|HSP83_DROVI	46245, 559292, 7244, 7227, 7240, 47315
17865	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
14238	Eukaryota							sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST	559292
13633	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
25946	Eukaryota							sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST	559292
11951	Eukaryota							sp|P16474|BIP_YEAST	559292
11652	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
14710	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
18403	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
10626	Eukaryota							sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P0CT53|EF1A1_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
18795	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
6102	Eukaryota							sp|P22515|UBA1_YEAST	559292
5785	Eukaryota							sp|P0CG63|UBI4P_YEAST	559292
17972	Eukaryota							sp|P11076|ARF1_YEAST, sp|P19146|ARF2_YEAST	559292
7277	Eukaryota								
5292	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00360|G3P1_YEAST	559292
10539	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|Q12335|PST2_YEAST	559292
5564	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00360|G3P1_YEAST	559292
8193	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00950|PMG1_YEAST	559292
20964	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00924|ENO1_YEAST	559292
9001	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00942|TPIS_YEAST	559292
9663	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P16467|PDC5_YEAST, sp|P06169|PDC1_YEAST	559292
9468	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00549|KPYK1_YEAST	559292
4499	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00360|G3P1_YEAST, sp|P00359|G3P3_YEAST, sp|P00358|G3P2_YEAST	559292
21804	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P36060|MCR1_YEAST, sp|A6ZZH2|MCR1_YEAS7	307796, 559292
17113	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P39516|RS14B_YEAST, sp|P06367|RS14A_YEAST	559292
13473	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P29453|RL8B_YEAST, sp|P17076|RL8A_YEAST	559292
21769	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P31412|VATC_YEAST	559292
5530	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00358|G3P2_YEAST, sp|P00359|G3P3_YEAST	559292
9335	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P25619|HSP30_YEAST	559292
11916	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P19882|HSP60_YEAST	559292
12901	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00549|KPYK1_YEAST	559292
22393	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|Q00711|SDHA_YEAST, sp|P47052|SDHX_YEAST	559292
17034	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P09435|HSP73_YEAST, sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST, sp|P22202|HSP74_YEAST	559292
10466	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P46367|ALDH4_YEAST	559292
13107	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P00331|ADH2_YEAST, sp|P00330|ADH1_YEAST	559292
16246	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P53184|PNC1_YEAST	559292
11939	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P46784|RS10B_YEAST, sp|Q08745|RS10A_YEAST	559292
6271	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P23638|PSA3_YEAST	559292
17597	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P22203|VATE_YEAST	559292
11901	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P10659|METK1_YEAST, sp|P19358|METK2_YEAST	559292
7297	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P33416|HSP78_YEAST	559292
14791	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|Q01855|RS15_YEAST	559292
7968	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P16467|PDC5_YEAST, sp|P06169|PDC1_YEAST	559292
11539	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P29453|RL8B_YEAST, sp|P17076|RL8A_YEAST	559292
14605	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P02829|HSP82_YEAST, sp|P15108|HSC82_YEAST	559292
15214	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	sp|P43616|DUG1_YEAST	559292
